year,sgt_model,sgt_data,logΩ_fit,Ω_fit,Ωt_model,FS_Divisia,FS_1980_base,FS_1990_base,FS_2000_base,FS_2010_base,FS_2023_base
1980,0.23976087964738813,0.23976087964738813,0.09889114482037283,1.103946122764575,1.1039461227645573,0.0,0.0,0.0,0.0,0.0,0.0
1981,0.24586673646800908,0.24586673646820206,0.11752043133627864,1.1247046089270656,1.1247046089278436,0.01477103848236657,0.029037473328964527,0.025355972674303475,0.02096644245682774,0.02055729319570118,0.014321726649397983
1982,0.23199353360585812,0.23199353360572694,0.13556653844674793,1.1451853921566477,1.1451853921564743,0.04436252112105088,0.05824960416705684,0.05105119950662236,0.04240676644366766,0.041488204553456545,0.02893879455275157
1983,0.2227986811652899,0.22279868116534837,0.15332445761604008,1.1657031388524315,1.1657031388530574,0.07374497742637579,0.08763193918286565,0.07706477359365908,0.06417453590745746,0.06273709626388933,0.0438545503319817
1984,0.22311473422145672,0.22311473422141748,0.17149546667544044,1.1870787613067872,1.187078761306565,0.10276346083624245,0.11718005434148432,0.10333560149898857,0.0862361048306261,0.0842794726573785,0.05907214739156746
1985,0.2123068949145691,0.21230689491447544,0.18851074069213763,1.2074500517662456,1.2074500517661257,0.13176092727311794,0.14688955951931082,0.12963555588440284,0.10858100229430345,0.10610417323553067,0.07459453769723323
1986,0.19916106442502846,0.1991610644253473,0.20477684998265405,1.2272511732842415,1.2272511732853357,0.16085713027158757,0.1767561028384056,0.15663367824259694,0.1312035520496725,0.1282044479389287,0.0904244639831956
1987,0.20097364311628044,0.20097364311639704,0.22269114745436955,1.2494346230741944,1.2494346230733602,0.1897071203477434,0.20677537472183888,0.18387818037723092,0.1540998752145481,0.15057568370916868,0.10656445243064343
1988,0.20093676957028278,0.20093676957028722,0.24037066199289067,1.2717204414043735,1.2717204414044916,0.21827309415533283,0.2369431116726161,0.21135719713488077,0.1772668573361919,0.17321419029956336,0.12301680585826406
1989,0.20041506114134974,0.20041506114136562,0.2579569133073646,1.2942830510468224,1.2942830510470837,0.24680787336920337,0.26725509977977246,0.23919480950875757,0.20070171690597086,0.1961161817058358,0.1397835974633951
1990,0.19694969794690037,0.19694969794691658,0.27490253074086995,1.3164023598516066,1.3164023598516685,0.2753112115515754,0.29770717795618806,0.2673485666769767,0.2244018011226557,0.2192781417810615,0.15686666514978195
1991,0.19073653713779198,0.1907365371377837,0.29106718555598593,1.3378544654267208,1.337854465426686,0.3037836336198776,0.3282952409134972,0.2896161085887028,0.248364480709734,0.2426968104264326,0.17426760647495126
1992,0.18622645455458517,0.18622645455488515,0.3074002090946715,1.359885097565686,1.3598850975667804,0.33218176335581384,0.359015241880228,0.3189319880732939,0.2725870926967731,0.26636908182887203,0.19198777424696684
1993,0.18019160024640984,0.1801916002463629,0.32312702165907936,1.3814408126656168,1.3814408126652586,0.3604932905904877,0.3898631950699582,0.34844588342680394,0.29706690839972755,0.287347388444589,0.21002827279673625
1994,0.17999282093200036,0.17999282093204585,0.3403174435046452,1.4053936528466264,1.4053936528471258,0.38873730126825085,0.4208351779068439,0.37813906986478324,0.32180111553897617,0.31284935759355714,0.22838995494819636
1995,0.17558610850006337,0.17558610850008968,0.3561728619131235,1.427854348566399,1.4278543485665809,0.416914085688362,0.4519273330163721,0.4079985932948429,0.34678680873247236,0.3385895677924554,0.2470734197046686
1996,0.17435424305073313,0.17435424305074085,0.3729107109463622,1.4519546903844938,1.4519546903845892,0.44504009217536494,0.4831358699895845,0.438014608614376,0.3720209851826935,0.36455881144836383,0.26607901066538303
1997,0.1688587217327073,0.16885872173283115,0.38807333273903555,1.4741378828931784,1.4741378828934575,0.4731326851475552,0.5144570669293494,0.46817915777071595,0.39750054371188737,0.39075093627618973,0.28540681518179145
1998,0.1591046326712792,0.15910463267093894,0.40139380919925527,1.4939054663889701,1.493905466388111,0.5012926724299609,0.5458872717875446,0.4984855168953023,0.4186915354416074,0.4171603131681275,0.29125880829240913
1999,0.1544601554986226,0.15446015549865774,0.41634476063995474,1.5164085767521935,1.5164085767525441,0.529322300451951,0.5774229035021566,0.5289278137865974,0.4464875167010429,0.4437817048642415,0.31253395322506305
2000,0.15118487720068313,0.1511848772006575,0.43167603683123196,1.539836184138256,1.5398361841381505,0.5571056578157882,0.6090604529434904,0.5595007892759487,0.4744899584279034,0.47061017707232056,0.3340927171776913
2001,0.144431163058927,0.14443116305897716,0.44533431273369195,1.5610119747897502,1.5610119747899056,0.5848657799232666,0.6407964836787092,0.5901996413563829,0.5026924022831976,0.49764103285559164,0.35592835167269204
2002,0.13963047144135365,0.1396304714413328,0.45961176509782514,1.5834591115512684,1.5834591115509655,0.612559569096688,0.6726276325639771,0.6210199197010863,0.5310889695740291,0.5248697636716395,0.37803606803330264
2003,0.14157205893045638,0.14157205893059766,0.47694675627452343,1.6111476582668647,1.6111476582657518,0.6401737286227991,0.7045506101734293,0.6515451829653514,0.5596740819598398,0.552292012524858,0.40041206234467375
2004,0.1427737344639133,0.1427737344639337,0.493990126029916,1.6388423788332476,1.6388423788334534,0.6677942540981968,0.7365622010741443,0.6830504327800042,0.5884424119696824,0.5799035460600874,0.4230530771655867
2005,0.13917082573526166,0.13917082573529801,0.508559417496895,1.6628939327294567,1.66289393272991,0.6953789216078644,0.7686592639561612,0.7146503566977759,0.6173888446761612,0.6077002333406597,0.44595616901531643
2006,0.1408441685820402,0.140844168582221,0.5258605852683953,1.6919142585232758,1.6919142585216318,0.7229561393837415,0.8008387316264644,0.7463414030997814,0.6465084477995836,0.6151769190024742,0.46911857206405805
2007,0.14299330192314838,0.14299330192310386,0.5435021013046765,1.7220270275172165,1.7220270275188903,0.7505852661978845,0.8330976108756635,0.77812022592021,0.6757964482479454,0.6449677297058956,0.4925376128640916
2008,0.14178903063850112,0.141789030638637,0.5592604486759083,1.7493782667655053,1.7493782667664854,0.7781939749245228,0.865432982225917,0.8099836496100519,0.7052482136147636,0.6749069912380072,0.5162106647733437
2009,0.13803097382901552,0.13803097382903312,0.573411569818773,1.7743099199108134,1.7743099199110668,0.8057440761137772,0.8978419995684028,0.8419286438238582,0.7348592375263601,0.7049864370001031,0.5401351841346307
2010,0.14115177700990253,0.14115177701001844,0.5917421527218318,1.807133977955491,1.8071339779549063,0.8333520406005569,0.9303218896984193,0.8739523046677464,0.7378106790574246,0.73519927841902,0.5643086135271838
2011,0.14417036654635149,0.14417036654638873,0.6101373241931396,1.8406841518926653,1.840684151892888,0.8610499874332258,0.9628699517559167,0.9060518405037721,0.769563537123978,0.7655396701080861,0.5887283154721736
2012,0.1382626578818885,0.13826265788199923,0.6226557162360272,1.8638713883861318,1.863871388386843,0.8887291833748793,0.9954835565790154,0.938224560993699,0.8014277317543987,0.7960024231163183,0.6133915701748236
2013,0.13960199334154805,0.13960199334156975,0.6399523228128345,1.8963904625865375,1.896390462586047,0.9163333983730979,1.0281601459777638,0.9704678684914225,0.8333951858379459,0.8265828326543718,0.6382955751224361
2014,0.13418213498160383,0.13418213498159043,0.6524749840679189,1.9202876337571462,1.9202876337571249,0.9438930340726857,1.0608972319351049,1.0027792511666538,0.865459409885436,0.8572765667907087,0.6634374457192809
2015,0.1227277434334989,0.12272774343373968,0.6603305888935582,1.9354320609965536,1.935432060996911,0.9716477937434054,1.0936923957417362,1.035156278288626,0.8976148470498173,0.888079590636756,0.6888142167776545
2016,0.11540368043252623,0.1154036804327174,0.670829926456522,1.9558598670946432,1.9558598670963068,0.999332628539275,1.126543287071236,1.0675966042824208,0.9298566000201208,0.9189881125934714,0.7144228447171951
2017,0.11767758649850038,0.11767758649870648,0.6884854707956025,1.9906982782798521,1.9906982782783158,1.0266639657571262,1.1594476230015371,1.10009795833294,0.9621802659126331,0.9499985450220768,0.7402602103499307
2018,0.11931433503291451,0.11931433503277912,0.7057277096614423,2.0253199937137474,2.025319993712171,1.0539149390590556,1.1924031869885339,1.1326581341002275,0.9945818287219852,0.9811074747280959,0.7663231221484852
2019,0.11441409733638601,0.11441409733641336,0.7176803207691327,2.0496731076844132,2.0496731076845025,1.0811502474119372,1.2254078277973028,1.1652749877006348,1.02705758531653,1.0123116403386132,0.7926083199106255
2020,0.10819907534067173,0.10819907534081828,0.7283215677740512,2.0716006467669867,2.071600646767947,1.10836979203065,1.2584594583961346,1.1979464359742098,1.0596040923283607,1.0436079146497867,0.819112478745975
2021,0.11730573558635526,0.11730573558740495,0.751904956872881,2.1210366539335146,2.1210366539303425,1.1359767512448768,1.2915560548182774,1.2306704548713123,1.0922181267459283,1.0749932906365507,0.8458322133209414
2022,0.12546294920853754,0.12546294920863724,0.7750330195815225,2.1706638004104413,2.1706638004112246,1.163946517807742,1.3246956549960194,1.2634450779373658,1.1248966558675648,1.1064648702101545,0.8727640823062934
2023,0.11949957730942232,0.11949957730942232,0.7857420448057859,2.194034408668142,2.194034408668985,1.1915995454853108,1.3578763575714514,1.2962683948787908,1.1576368138653523,1.138019855069437,0.899904592978765
